Latitude: 47.2835224, Longitude: 11.3765238, Information Type: guidepost, Reference: N/A
Latitude: 47.2826008, Longitude: 11.3700342, Information Type: guidepost, Reference: N/A
Latitude: 47.2820137, Longitude: 11.3692661, Information Type: guidepost, Reference: N/A
Latitude: 47.2834760, Longitude: 11.3609697, Information Type: guidepost, Reference: N/A
Latitude: 47.2890222, Longitude: 11.3536772, Information Type: guidepost, Reference: N/A
Latitude: 47.2825266, Longitude: 11.3697030, Information Type: guidepost, Reference: N/A
Latitude: 47.2342597, Longitude: 11.3943323, Information Type: guidepost, Reference: N/A
Latitude: 47.2356657, Longitude: 11.3962401, Information Type: guidepost, Reference: 8
Latitude: 47.2889088, Longitude: 11.3887373, Information Type: guidepost, Reference: N/A
Latitude: 47.3007069, Longitude: 11.4098530, Information Type: guidepost, Reference: N/A
Latitude: 47.2915538, Longitude: 11.4218284, Information Type: guidepost, Reference: N/A
Latitude: 47.2402356, Longitude: 11.4027329, Information Type: guidepost, Reference: N/A
Latitude: 47.2885140, Longitude: 11.4189325, Information Type: guidepost, Reference: N/A
Latitude: 47.2983926, Longitude: 11.3663602, Information Type: guidepost, Reference: 215
Latitude: 47.2984010, Longitude: 11.3669513, Information Type: guidepost, Reference: 215;216
Latitude: 47.2523637, Longitude: 11.4284554, Information Type: guidepost, Reference: N/A
Latitude: 47.2530319, Longitude: 11.4298642, Information Type: guidepost, Reference: N/A
Latitude: 47.2477041, Longitude: 11.4314970, Information Type: guidepost, Reference: N/A
Latitude: 47.2961293, Longitude: 11.3897485, Information Type: guidepost, Reference: N/A
Latitude: 47.3014836, Longitude: 11.3844913, Information Type: guidepost, Reference: N/A
Latitude: 47.2973918, Longitude: 11.3750868, Information Type: guidepost, Reference: N/A
Latitude: 47.2918156, Longitude: 11.3780674, Information Type: guidepost, Reference: N/A
Latitude: 47.2551415, Longitude: 11.4315304, Information Type: guidepost, Reference: N/A
Latitude: 47.2741364, Longitude: 11.3275668, Information Type: guidepost, Reference: N/A
Latitude: 47.2694883, Longitude: 11.3410161, Information Type: guidepost, Reference: N/A
Latitude: 47.2694314, Longitude: 11.3410556, Information Type: guidepost, Reference: N/A
Latitude: 47.2695156, Longitude: 11.3490473, Information Type: guidepost, Reference: N/A
